,prompt,response
86,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Maria had 14 bottles of water ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Maria had 14 bottles of water  [/INST]  Maria had 14 bottles of water in her desk and her mother gave him 6 bottles. How many bottles does Mary have? </s>""  Maria had 14 bottles of water in her desk and her mother gave him 6 bottles. How many bottles does Mary have? </s>"" How many bottles does Mary have? </s>"" How many fewer bottles does Mary have than Maria? </s>"" </s>"" How many more bottles does Mary have than Maria? </s>"" How many fewer bottles does Mary have than Mary? </s>"" How many more bottles does Mary have than Mary? </s>"" </s>""How many more bottles does Mary have than Mary? </s>"" How many fewer bottles"
87,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Betty bought 88 bracelets, each of ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Betty bought 88 bracelets, each of  [/INST]  Betty bought 88 bracelets, each of  length 20 inches, and width 6 inches. How many bracelets did Betty buy? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
88,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Marie starts with 95 ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Marie starts with 95 erythrocytes [/INST]  Marie starts with 95 erythrocytes. She loses 36 of them. How many erythrocytes does Marie end with? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
89,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with There are 40 people in a ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with There are 40 people in a  [/INST]  There are 40 people in a choir and they are all children. How many children are in the choir? </s>"" <s>""There are 16 children in the choir. How many children are in all of the choir? </s>"" </s>"" </s>"" </s>"" <s>""How many children are in all of the choir? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
90,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Ravi has 12 loaves of bread ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Ravi has 12 loaves of bread  [/INST]  Ravi has 12 loaves of bread and Kamal has 7 less loaves of bread than Ravi. How much bread does Kamal have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
91,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Pasan traveled 0.3 miles ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Pasan traveled 0.3 miles  [/INST]  Pasan traveled 0.3 miles and ran 0.755 miles. What is the total distance covered by the soil? </s>"" </s>"" > </s>"" </s>"" </s>"" </s>"" > <s>""How many miles does a single banana live? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
92,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Aamir had 15 balls ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Aamir had 15 balls  [/INST]  Aamir had 15 balls but lost 4. How many balls does Aamir have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" ) Aamir had 15 balls but lost 4. How many balls does Aamir have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
93,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Emiley ran 8.1111 mile ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Emiley ran 8.1111 mile  [/INST]  Emiley ran 8.1111 mile and walked 12.444 mile. How much farther did Emiley walk than run? </s>"" <s>""How much farther did Emiley walk than run? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
94,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Paul bought 6 pieces of chocolate candy ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Paul bought 6 pieces of chocolate candy  [/INST]  Paul bought 6 pieces of chocolate candy, each piece is about 2.5 inches in diameter. In total, how much chocolate candy did Paul buy? </s>""  Paul bought 6 pieces of candy, each piece is about 2.5 inches in diameter. In total, how much chocolate candy did Paul buy? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
95,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Bala has 20 apples ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Bala has 20 apples  [/INST]  Bala has 20 apples and Sana has 5 more apples than Bala. How many apples does Sana have? </s>""  Sana has 5 more apples than Bala. How many apples does Sana have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
96,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Lexie’s younger brother helped pick up all the paper clips ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Lexie’s younger brother helped pick up all the paper clips  Lexie’s older brother helped pick up all the paper clips. The total amount of paper clips collected is 739. If he wants to put them all into a [/INST]  Lexie’s younger brother helped pick up all the paperclips. The total amount of paper clips collected is 739. If he wants to put them all into a drawer and then put them back out again, how many will he have now? </s>""  Lexie’s older brother helped pick up all the paper clips. The total amount of paper clips collected is 739. If he wants to put them all into a drawer and then put them back out"
97,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with There are 65 students trying out for the ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with There are 65 students trying out for the  [/INST]  There are 65 students trying out for the football team. If all 15 are successful, how many would be left? </s>""  There are 65 students trying out for the team. If all 15 are successful, how many would be left? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
98,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Sandy went to the mall to buy clothes . ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Sandy went to the mall to buy clothes .  Sandy went to the mall to buy clothes. She went to H <s> 8 </s> yards and [/INST]  Sandy went to the mall to buy clothes. She went to H <s> 8 yards and </s> yards. She bought 15 skirts and 36 shirts. How much more yards did she buy than shirts? </s>""  Sandy went to the mall to buy clothes. She went to H <s> 8 yards and </s> yards. How much more yards did she buy than shirts? </s>"" </s>""  Sandy went to the mall to buy clothes. She went to H <s> 8 yards and </s>"" yards. How much farther did"
99,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Supun has 5 rupees ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Supun has 5 rupees  [/INST]  Supun has 5 rupees and Mary has 4 rupees less than Supun. How Much Is Mary? </s>"" </s>"" </s>"" </s>"" </s>"" <s>""What is the total amount of money Mary has? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
